X1,X1,cluster,status
1444,1444,1,1
1445,1445,1,1
1446,1446,1,1
1447,1447,1,1
1448,1448,0,1
1449,1449,0,1
1450,1450,0,1
1451,1451,0,1
1452,1452,0,1
1453,1453,0,1
1454,1454,1,1
1455,1455,1,1
1457,1457,1,1
1458,1458,0,1
1459,1459,1,1
1460,1460,0,1
1461,1461,0,1
1462,1462,0,1
1463,1463,1,1
1464,1464,1,1
1465,1465,0,1
1466,1466,0,1
1467,1467,1,1
1468,1468,1,1
1469,1469,1,1
1470,1470,0,1
1471,1471,1,1
1473,1473,1,1
1474,1474,1,1
1475,1475,1,1
1476,1476,0,1
1477,1477,1,1
1478,1478,0,1
1479,1479,0,1
1480,1480,1,1
1483,1483,1,1
1485,1485,1,1
1486,1486,1,1
1487,1487,0,1
1488,1488,1,1
1489,1489,1,1
1492,1492,1,1
1494,1494,1,1
1495,1495,1,1
1496,1496,1,1
1497,1497,0,1
1498,1498,1,1
1500,1500,0,1
1501,1501,0,1
1502,1502,0,1
1504,1504,1,1
1506,1506,0,1
1507,1507,0,1
1509,1509,0,1
1511,1511,1,1
1512,1512,1,1
1513,1513,0,1
1514,1514,0,1
1515,1515,0,1
1516,1516,0,1
1517,1517,0,1
1518,1518,0,1
1519,1519,0,1
1522,1522,1,1
1523,1523,0,1
1527,1527,1,1
1529,1529,0,1
1530,1530,0,1
1533,1533,1,1
1534,1534,0,1
1535,1535,1,1
1536,1536,1,1
1538,1538,1,1
1540,1540,0,1
1542,1542,1,1
1543,1543,0,1
1545,1545,1,1
1547,1547,0,1
1548,1548,1,1
1549,1549,0,1
1550,1550,1,1
1551,1551,0,1
1552,1552,0,1
1553,1553,1,1
1554,1554,0,1
1555,1555,0,1
1559,1559,1,1
1561,1561,0,1
1562,1562,1,1
1563,1563,1,1
1564,1564,0,1
1565,1565,0,1
1566,1566,0,1
1567,1567,1,1
1568,1568,0,1
1569,1569,0,1
1570,1570,1,1
1571,1571,1,1
1573,1573,0,1
1574,1574,0,1
1575,1575,1,1
1578,1578,0,1
1579,1579,0,1
1580,1580,1,1
1581,1581,0,1
1584,1584,0,1
1585,1585,0,1
1586,1586,0,1
1587,1587,0,1
1588,1588,0,1
1589,1589,0,1
1590,1590,1,1
1592,1592,1,1
1593,1593,1,1
1595,1595,1,1
1597,1597,1,1
1598,1598,1,1
1599,1599,0,1
1600,1600,0,1
1602,1602,1,1
1603,1603,0,1
1604,1604,0,1
1605,1605,1,1
1606,1606,0,1
1608,1608,0,1
1612,1612,1,1
1613,1613,0,1
1614,1614,0,1
1615,1615,0,1
1616,1616,1,1
1620,1620,0,1
1621,1621,1,1
1625,1625,0,1
1626,1626,1,1
1627,1627,1,1
1629,1629,0,1
1631,1631,0,1
1632,1632,1,1
1634,1634,0,1
1635,1635,1,1
1636,1636,0,1
1637,1637,1,1
1638,1638,1,1
1639,1639,0,1
1640,1640,0,1
1643,1643,1,1
1644,1644,0,1
1645,1645,0,1
1647,1647,0,1
1648,1648,0,1
1649,1649,0,1
1651,1651,0,1
1653,1653,1,1
1654,1654,0,1
1655,1655,1,1
1656,1656,0,1
1658,1658,1,1
1659,1659,1,1
1660,1660,0,1
1661,1661,0,1
1662,1662,0,1
1663,1663,1,1
1664,1664,1,1
1665,1665,1,1
1666,1666,0,1
1668,1668,0,1
1669,1669,1,1
1671,1671,1,1
1673,1673,1,1
1676,1676,0,1
1677,1677,0,1
1678,1678,1,1
1679,1679,1,1
1682,1682,0,1
1683,1683,0,1
1684,1684,1,1
1685,1685,1,1
1686,1686,0,1
1687,1687,1,1
1688,1688,0,1
