X1,status,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
17290,0,3.4,0.94,1.29,1.07,1.07,1.13,-0.96,-0.08,-0.68,2.57,2.57,-1.04,-0.89,-0.03,-0.03,1,1,1,1,0,14,0,253,7910
17291,0,2.77,1.18,1.36,1.72,0.5,11.82,2.1,0.04,-0.01,0.3,0.21,0.48,2.44,0.16,0.23,0,0,1,1,831,129,168,193,4120
17292,0,-12.97,0,0.92,0.93,0.45,-1.01,-3.58,-0.13,-1.21,0.39,0.39,-0.28,-3.29,-0.3,-0.3,1,1,1,1,469,0,150,219,4759
17293,0,7.56,0,1.13,1.4,0.78,1.35,1.97,0.02,0.07,0.27,0.27,0.51,5.08,0.18,0.18,0,0,1,0,333,0,0,252,3100
17294,0,-10.42,0,0.9,0.99,0.99,-0.96,-70.47,-0.15,-1.43,0.51,0.27,-0.01,-69.59,-0.29,-0.54,1,1,1,1,0,0,694,251,2562
17295,0,10.68,0,1.09,3.27,3.27,1.57,-39,-0.03,-0.32,0.18,0.16,-0.03,79.35,0.33,0.37,1,1,0,1,0,136,604,251,5110
17296,0,0.94,0,2.06,1.2,1.2,1.23,38.45,0.19,0.19,1.23,1.16,0.03,134.46,0.54,0.56,0,0,1,0,0,56,159,243,7711
17297,0,4.31,0,1.23,1.27,0.71,28.76,2.78,0.09,0.32,1.04,1.04,0.36,2.95,0.09,0.09,0,0,1,0,154,0,0,217,4771
17298,0,-28.55,0,0.96,0.97,0.31,-8.83,-12.81,-0.15,-4.52,0.52,0.09,-0.08,-12.48,-0.28,-1.56,1,1,1,1,480,0,0,249,4120
17299,0,1.13,0,1.88,1.87,1.87,53.5,-48.56,0,-0.01,0.44,0.43,-0.02,-39.92,-0.01,-0.01,1,1,1,1,0,0,0,249,5610
17300,0,2.37,0,1.42,1.41,1.41,3.6,20.12,0.05,0.07,0.81,0.81,0.05,32.05,0.09,0.09,0,0,1,0,0,274,91,249,7410
17301,0,0.37,0.18,3.73,1.19,1.19,1.01,-0.07,0.1,0,0.02,0,0.04,0.33,0.08,0.58,1,0,0,0,0,255,814,249,120
17302,0,3.65,0,1.27,0.89,0.76,0.94,-5.59,-0.05,-0.24,0.17,0.19,-0.18,1.34,0.07,0.06,1,1,1,1,110,0,520,198,3010
17305,0,0.4,0.01,3.49,1.42,1.36,1.13,5.41,0.02,0.01,0.21,0.17,0.18,6.56,0.09,0.11,0,0,1,0,23,279,341,247,6311
17306,0,-6.4,0,0.84,0.67,0.67,-0.44,-20.11,-0.24,-1.35,0.53,0.53,-0.05,-17.35,-0.39,-0.39,1,1,1,1,0,49,332,245,8211
17307,0,10.12,0,1.1,0.56,0.22,0.21,-17.09,-0.03,-0.34,0.35,0.33,-0.06,-7.84,-0.04,-0.04,1,1,1,1,312,0,187,212,4742
17308,0,12.06,2.46,1.08,0.7,0.57,0.5,0.88,0.01,-0.07,0.32,0.11,1.14,3.91,0.18,0.53,0,1,1,1,122,196,415,195,4642
17309,0,2.18,0.31,1.46,0.8,0.8,0.74,1.66,0.02,0,0.45,0.37,0.6,2.99,0.07,0.09,0,0,1,0,0,279,319,236,4120
17310,0,5.88,0.59,1.17,1.26,0.39,3.15,2.53,0.02,0.07,0.48,0.4,0.39,5.82,0.08,0.09,0,0,1,0,480,486,178,243,4719
17311,0,2.99,0,1.33,1.71,1.71,8.23,2.45,0.04,0.07,0.54,0.53,0.41,4.92,0.17,0.17,0,0,1,0,0,0,0,243,121
