X1,V1,V2,V3,V4,V5,V6,V8,V9,V12,V13,V15,V19,V20,V21,V22,V23,V25,V26,V27,status
7210,2.54,0.0,1.39,0.71,0.71,0.95,0.02,0.0,0.36,4.49,0.42,0,0,0,0,1969,826.98,1.0,0.0012092190863140584,0
7212,25.62,0.0,1.04,1.25,1.25,39.37,0.01,0.2,0.02,26.86,0.01,0,0,170,13,1969,19.69,-1.0,0.0,0
7213,6.77,0.0,1.15,0.49,0.49,0.26,0.12,0.63,0.14,14.45,0.27,0,0,0,84,1969,531.63,-1.0,0.0018810074675996464,0
7214,4.97,1.26,1.2,1.21,1.21,5.26,0.11,0.44,0.02,64.1,0.09,0,0,90,209,1968,177.12,-1964.4221825396828,0.005645889792231256,0
7215,0.77,0.68,2.3,0.57,0.57,0.76,0.07,0.09,0.08,18.68,0.36,0,2,5,96,1968,708.48,-80.85301150895141,0.001411472448057814,0
7216,68.72,1.06,1.01,1.01,0.4,1.56,0.03,0.59,0.49,2.2,0.01,0,87,130,14,1967,19.67,-23707.430943396226,0.05083884087442806,0
7217,0.44,0.0,3.27,3.41,3.39,21.86,0.12,0.08,0.02,69.03,0.12,0,2,64,179,1967,236.04,-1.0,0.004236570072869005,0
7218,18.11,5.3,1.06,1.09,0.87,1.49,0.04,0.07,0.66,2.65,0.05,0,48,59,172,1966,98.30000000000001,-1137.3756322534714,0.010172939979654119,0
7219,2.72,0.0,1.37,1.75,1.75,128.0,0.02,0.02,0.01,212.57,0.01,0,0,103,117,1966,19.66,-1.0,0.0,0
7220,33.81,0.0,1.03,1.02,1.02,1.63,0.13,0.96,0.02,53.23,0.04,0,0,0,0,1965,78.60000000000001,1.0,0.01272264631043257,0
7221,9.57,0.0,1.1,1.17,0.78,1.77,0.01,-0.03,0.76,9.42,0.03,1,57,0,0,1965,58.949999999999996,1.0,0.016963528413910096,0
7223,1.43,0.62,1.7,1.95,1.95,89.59,0.02,0.01,0.53,-1.69,-0.01,0,0,33,118,1963,-19.63,-1611.1799146110052,-0.0,0
7224,7.81,0.0,1.13,1.49,1.35,3.61,0.06,0.18,0.39,3.41,0.05,0,19,0,0,1963,98.15,1.0,0.010188487009679063,0
